task_id,true_label,difficulty,is_gold
0,0,0.15659070129934474,False
1,1,0.2000850805337467,False
2,1,0.14527294964784637,False
3,0,0.5260194693861856,False
4,0,0.3127927950515916,False
5,1,0.2590280787252034,False
6,0,0.11447519560048001,True
7,1,0.4226852000288448,False
8,0,0.21481221272589876,False
9,0,0.12614736812749344,False
10,1,0.3547341289523868,False
11,1,0.20546657220856387,False
12,1,0.10086019447472813,False
13,1,0.17893453051371547,False
14,1,0.2560224729675289,False
15,1,0.20706038462699053,False
16,1,0.4000870480526899,True
17,0,0.3373980984590867,False
18,1,0.14253693457178643,False
19,0,0.4004702740805936,False
20,1,0.11677590137516264,False
21,0,0.3514774083421891,False
22,0,0.4562413303449725,False
23,1,0.2837294550041894,False
24,1,0.364388037599209,False
25,1,0.21751166578647246,False
26,0,0.3719270127403348,True
27,1,0.06168146232620492,False
28,1,0.49673875779985893,False
29,0,0.3128562958133585,False
30,0,0.08135971332284433,False
31,0,0.24873137433543352,False
32,0,0.3953163061560123,False
33,1,0.38537521106281925,False
34,1,0.2768969954544993,False
35,0,0.11064193023661147,False
36,1,0.2433528448262852,False
37,1,0.3106734453102335,False
38,0,0.12839463025789546,False
39,1,0.25155212463035975,False
40,0,0.5165550927998779,False
41,1,0.13938156837341492,False
42,1,0.453822235476795,False
43,0,0.5750447851224506,False
44,0,0.1435007917845899,True
45,1,0.1436067644778679,False
46,0,0.47707049433164583,False
47,1,0.1737119924601446,False
48,1,0.09762512018504853,False
49,1,0.11096091879197216,False
50,1,0.5718941974825725,False
51,0,0.07150255848143938,False
52,0,0.06316773099554346,False
53,0,0.25083604256341463,False
54,0,0.5351052237499807,False
55,0,0.33332391649607623,False
56,1,0.33972367344707444,False
57,0,0.6597044487461476,False
58,1,0.1476476576775542,False
59,1,0.31422354901214905,False
60,1,0.12597291187566115,False
61,1,0.25262675778132204,False
62,0,0.255471580301773,False
63,1,0.3336510540522455,False
64,0,0.32943189092447306,False
65,0,0.14622375645711758,False
66,1,0.10944361603329451,False
67,0,0.12243374616874377,False
68,0,0.6188745764348573,False
69,0,0.18193563526669035,False
70,1,0.11005919060479662,False
71,0,0.4564085427940005,False
72,0,0.1761113052109823,False
73,0,0.18644175405620447,False
74,1,0.20689906962469773,False
75,0,0.30595990608795287,False
76,0,0.4393342323265035,False
77,0,0.15696694698233177,True
78,1,0.5050397022085158,False
79,1,0.3583059451620932,True
80,1,0.1967363367398091,False
81,0,0.45123896872400054,False
82,0,0.471458318517816,False
83,1,0.3261853580478449,False
84,1,0.7214215325008806,False
85,1,0.49120913004530675,False
86,0,0.34416976704628927,False
87,0,0.4913346709759323,False
88,1,0.5114779676323983,False
89,1,0.04755075587355303,False
90,0,0.05025859397448935,False
91,1,0.10647712568589147,False
92,1,0.4642340361126317,False
93,0,0.19912888177502766,False
94,1,0.08450168290260743,False
95,0,0.16694922505976686,False
96,0,0.31391331482267504,False
97,1,0.3907372404257884,False
98,1,0.1638543895012978,False
99,0,0.35517532463479096,False
100,1,0.3637720979383461,False
101,0,0.6001741981966855,False
102,1,0.30138409289552465,False
103,0,0.844224763603197,False
104,1,0.2309006825394548,False
105,1,0.17359375786979053,False
106,1,0.43367545225960963,True
107,1,0.5582146084266786,False
108,0,0.09678222914856828,False
109,1,0.14901276044395004,False
110,0,0.3118149251954397,False
111,1,0.4504520677903151,False
112,1,0.09941091372697203,False
113,0,0.2871116810911284,False
114,1,0.5869732563053821,False
115,1,0.32823751747081964,False
116,0,0.2729112002234095,False
117,0,0.6751988944487091,False
118,0,0.3942381008617035,False
119,0,0.44687374850796424,False
120,0,0.5620829957429613,False
121,1,0.384664516944324,False
122,1,0.2384618526804491,False
123,0,0.3991122287873408,False
