task_id,true_label,difficulty,is_gold,ds_label,ds_confidence,mv_label
0,0,0.1565907012993447,False,1,0.6709603130591517,0
1,1,0.2000850805337467,False,1,0.998257378626591,1
2,1,0.1452729496478463,False,1,0.9904410556575165,1
3,0,0.5260194693861856,False,1,0.9904021859896283,1
4,0,0.3127927950515916,False,0,0.8832991163581246,0
5,1,0.2590280787252034,False,1,0.7796131794122209,1
6,0,0.11447519560048,True,0,0.8303630668737765,0
7,1,0.4226852000288448,False,0,0.5785019565799785,0
8,0,0.2148122127258987,False,0,0.9986528696695793,0
9,0,0.1261473681274934,False,0,0.9991565500970813,0
10,1,0.3547341289523868,False,1,0.9603523500829297,1
11,1,0.2054665722085638,False,1,0.9910451562975395,1
12,1,0.1008601944747281,False,1,0.9996134587414779,1
13,1,0.1789345305137154,False,1,0.9540709542928248,1
14,1,0.2560224729675289,False,1,0.9977115662797914,1
15,1,0.2070603846269905,False,0,0.8241229765112528,1
16,1,0.4000870480526899,True,1,0.9520900826263866,1
17,0,0.3373980984590867,False,0,0.7918822600555484,0
18,1,0.1425369345717864,False,1,0.9917326605519,1
19,0,0.4004702740805936,False,0,0.997537355466828,0
20,1,0.1167759013751626,False,1,0.7562659065014667,1
21,0,0.3514774083421891,False,0,0.9592576809240932,0
22,0,0.4562413303449725,False,0,0.9637310986557095,0
23,1,0.2837294550041894,False,1,0.6525727584810109,1
24,1,0.364388037599209,False,1,0.9863001273481669,1
25,1,0.2175116657864724,False,1,0.9999976801614805,1
26,0,0.3719270127403348,True,0,0.9552387322267408,0
27,1,0.0616814623262049,False,1,0.8815811424846313,1
28,1,0.4967387577998589,False,0,0.7955871398548876,0
29,0,0.3128562958133585,False,0,0.9422503131445806,0
30,0,0.0813597133228443,False,0,0.999911900243106,0
31,0,0.2487313743354335,False,0,0.9211813455946092,0
32,0,0.3953163061560123,False,1,0.847984213066698,1
33,1,0.3853752110628192,False,0,0.7026891947804523,0
34,1,0.2768969954544993,False,0,0.7907025901295816,0
35,0,0.1106419302366114,False,0,0.9894880015262711,0
36,1,0.2433528448262852,False,1,0.9981084924549355,0
37,1,0.3106734453102335,False,0,0.8242548514193226,0
38,0,0.1283946302578954,False,0,0.903518039797726,0
39,1,0.2515521246303597,False,0,0.9996288863725982,0
40,0,0.5165550927998779,False,1,0.9787166003467931,1
41,1,0.1393815683734149,False,1,0.998961465588298,1
42,1,0.453822235476795,False,1,0.9988851814106486,1
43,0,0.5750447851224506,False,1,0.7639886635689244,1
44,0,0.1435007917845899,True,0,0.9878232968166587,0
45,1,0.1436067644778679,False,1,0.9806393018884983,1
46,0,0.4770704943316458,False,0,0.9996849254454455,0
47,1,0.1737119924601446,False,1,0.9879809841556845,1
48,1,0.0976251201850485,False,1,0.9978442999682483,1
49,1,0.1109609187919721,False,1,0.9428112234137701,0
50,1,0.5718941974825725,False,1,0.9895204232530252,1
51,0,0.0715025584814393,False,0,0.9994757419089847,0
52,0,0.0631677309955434,False,0,0.981698243580572,0
53,0,0.2508360425634146,False,0,0.9968355708712054,0
54,0,0.5351052237499807,False,1,0.800050305223347,0
55,0,0.3333239164960762,False,1,0.8407693191837964,0
56,1,0.3397236734470744,False,1,0.9989077431688653,0
57,0,0.6597044487461476,False,1,0.9797302106835168,1
58,1,0.1476476576775542,False,1,0.9592498758338391,1
59,1,0.314223549012149,False,1,0.9846918656511435,1
60,1,0.1259729118756611,False,0,0.6584199577803066,0
